Date,Symbol,Price,Open,High,Low,Vol.,Change %,Sector,Name,Industry
"Oct 10, 2021",2222,33.59,33.86,33.95,33.32,6.91M,-0.54%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 07, 2021",2222,33.77,33.95,34.27,33.64,7.93M,-0.40%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 06, 2021",2222,33.91,33.68,34.55,33.68,33.17M,0.67%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 05, 2021",2222,33.68,33.18,33.82,33.14,22.23M,1.79%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 04, 2021",2222,33.09,32.73,33.36,32.64,14.47M,0.97%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 03, 2021",2222,32.77,32.64,32.77,32.59,4.96M,0.14%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 30, 2021",2222,32.73,32.68,32.82,32.45,9.50M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 29, 2021",2222,32.73,32.82,33.14,32.55,15.00M,-0.96%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 28, 2021",2222,33.05,31.95,33.23,31.86,34.66M,3.56%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 27, 2021",2222,31.91,31.91,32.00,31.86,6.82M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 26, 2021",2222,31.91,31.82,31.95,31.77,8.76M,0.43%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 22, 2021",2222,31.77,31.73,31.82,31.73,2.68M,0.14%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 21, 2021",2222,31.73,31.73,31.82,31.73,4.98M,-0.29%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 20, 2021",2222,31.82,31.77,31.82,31.73,4.87M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 19, 2021",2222,31.82,31.91,31.95,31.73,8.10M,-0.43%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 16, 2021",2222,31.95,31.95,32.05,31.86,11.75M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 15, 2021",2222,31.95,31.82,31.95,31.82,8.43M,0.57%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 14, 2021",2222,31.77,31.77,31.86,31.77,4.54M,-0.29%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 13, 2021",2222,31.86,31.77,31.86,31.73,4.17M,0.29%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 12, 2021",2222,31.77,31.82,31.86,31.77,2.49M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 09, 2021",2222,31.77,31.82,31.86,31.77,4.37M,-0.43%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 08, 2021",2222,31.91,31.86,31.91,31.82,4.50M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Sep 07, 2021",2222,31.91,31.82,31.91,31.82,1.83M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
